tns_name,classification,group,embedding_x,embedding_y
FRB20181130A,0,repeater_cluster_3,1.032870293,-2.744138002
FRB20181201A,-1,other_cluster_6,13.04245567,8.089108467
FRB20181201B,-1,other_cluster_6,12.95168781,8.003872871
FRB20181202A,-1,other_cluster_6,10.17492962,7.245328426
FRB20181202B,0,repeater_cluster_1,1.451745868,8.813406944
FRB20181202C,-1,other_cluster_6,10.97979832,7.483625412
FRB20181203A,0,repeater_cluster_1,-4.640185833,11.53141308
FRB20181203B,0,repeater_cluster_1,-2.968750238,10.24314022
FRB20181203C,-1,other_cluster_2,16.11440468,12.452775
FRB20181208A,-1,other_cluster_2,15.97148323,12.64889336
FRB20181209A,0,repeater_cluster_3,2.342933178,-2.129299641
FRB20181213A,-1,other_cluster_2,16.85833549,12.8795929
FRB20181213B,0,repeater_cluster_1,-2.151411533,9.853094101
FRB20181213C,-1,other_cluster_2,16.8506012,12.91538239
FRB20181214A,0,repeater_cluster_3,-0.926338196,-2.91642046
FRB20181214B,-1,other_cluster_2,15.7559576,13.05643463
FRB20181214C,-1,other_cluster_2,16.57653999,12.49204826
FRB20181214D,0,repeater_cluster_1,-0.457538277,10.49257088
FRB20181214F,0,repeater_cluster_3,0.929128766,-2.749111176
FRB20181215A,-1,other_cluster_2,15.83033752,13.1029892
FRB20181215B,0,repeater_cluster_1,1.425457239,8.840780258
FRB20181216A,0,repeater_cluster_1,-0.295669258,9.716474533
FRB20181217A,0,repeater_cluster_1,0.148377568,11.12300777
FRB20181218A,0,repeater_cluster_3,-0.065935291,-2.354450941
FRB20181218B,-1,other_cluster_4,13.33351231,0.252992898
FRB20181218C,-1,other_cluster_5,11.94145298,4.340358734
FRB20181219B,0,repeater_cluster_1,-4.802872658,11.4179554
FRB20181219C,-1,other_cluster_4,12.98947048,0.86556071
FRB20181219A,1,other_cluster_5,11.94112873,4.871194363
FRB20181220A,-1,other_cluster_3,6.810606003,-1.412043214
FRB20181220B,-1,other_cluster_6,13.20272446,8.315089226
FRB20181221A,0,repeater_cluster_3,-1.646418095,-1.479635239
FRB20181221B,0,repeater_cluster_2,2.21093297,0.438721865
FRB20181222A,1,repeater_cluster_1,-2.778057337,10.01089191
FRB20181222A,1,repeater_cluster_1,-2.751886368,9.98969841
FRB20181222A,1,repeater_cluster_1,-2.628982067,9.870044708
FRB20181222A,1,repeater_cluster_1,-2.314067602,9.541371346
FRB20181222B,-1,other_cluster_6,13.22019386,8.338434219
FRB20181222C,-1,other_cluster_4,12.99697208,0.836626172
FRB20181222D,0,repeater_cluster_3,1.826471806,-1.593705058
FRB20181222E,-1,other_cluster_3,8.362852097,0.474241048
FRB20181222E,-1,other_cluster_3,8.38492775,1.087054372
FRB20181223A,1,repeater_cluster_1,-1.362103105,9.755588531
FRB20181223A,1,repeater_cluster_1,-0.760562181,9.464851379
FRB20181223B,0,repeater_cluster_1,-1.036467552,8.85535717
FRB20181223C,-1,other_cluster_6,11.19274712,7.3881917
FRB20181224A,-1,other_cluster_6,7.680895329,7.879839897
FRB20181224B,-1,other_cluster_2,16.1588974,12.83700848
FRB20181224C,-1,other_cluster_2,16.81230354,12.1181221
FRB20181224D,-1,other_cluster_2,16.8617897,12.89139843
FRB20181224E,-1,other_cluster_4,13.00793457,0.805224836
FRB20181224E,-1,other_cluster_2,16.87041092,12.05701923
FRB20181225A,1,repeater_cluster_3,-0.672551394,-2.586642027
FRB20181225B,-1,other_cluster_6,7.10184145,7.669084072
FRB20181226C,-1,other_cluster_2,16.00155258,12.87855148
FRB20181226A,1,repeater_cluster_3,-2.303719759,-1.001460075
FRB20181226A,1,repeater_cluster_3,-1.702068925,-1.448690057
FRB20181226D,-1,other_cluster_6,13.22089386,8.33495903
FRB20181226B,-1,other_cluster_5,11.80287075,4.385374069
FRB20181226B,-1,other_cluster_5,12.33105183,6.055864334
FRB20181226B,-1,other_cluster_6,8.403489113,7.644031525
FRB20181226E,0,repeater_cluster_3,2.438197374,-2.330346107
FRB20181227A,0,repeater_cluster_1,0.10837394,11.07907391
FRB20181228A,-1,other_cluster_5,12.05009937,4.605172157
FRB20181228B,0,repeater_cluster_3,-2.006829262,-3.232062578
FRB20181228C,-1,other_cluster_2,17.01267433,12.76148605
FRB20181229A,-1,other_cluster_6,8.090472221,7.94670248
FRB20181229B,0,repeater_cluster_3,-0.210930347,-2.494846582
FRB20181230A,0,repeater_cluster_1,-3.048225164,10.30527115
FRB20181230B,-1,other_cluster_6,12.27893543,7.449616432
FRB20181230C,0,repeater_cluster_1,-0.253022611,11.03769207
FRB20181230D,-1,other_cluster_1,-0.657682121,14.00071716
FRB20181230E,-1,other_cluster_5,12.03990555,4.453959465
FRB20181231A,0,repeater_cluster_1,-0.058606986,11.07533646
FRB20181231B,0,repeater_cluster_1,-2.163211584,9.843032837
FRB20181231C,-1,other_cluster_3,8.439714432,-0.777103901
FRB20190101A,-1,other_cluster_4,12.94560432,0.89380753
FRB20190101B,0,repeater_cluster_1,-2.969055891,10.23597813
FRB20190102A,0,repeater_cluster_2,2.227836847,0.512050033
FRB20190102B,-1,other_cluster_6,12.9269762,7.975772858
FRB20190103B,-1,other_cluster_5,11.97137642,4.863442421
FRB20190103C,-1,other_cluster_6,8.226875305,7.876300812
FRB20190103A,1,repeater_cluster_1,-4.767261505,11.41472912
FRB20190103D,-1,other_cluster_3,8.290621758,-1.007147193
FRB20190103E,-1,other_cluster_6,7.73508358,7.883282185
FRB20190104A,-1,other_cluster_6,8.291324615,7.88922596
FRB20190104A,-1,other_cluster_2,16.69505119,12.70173454
FRB20190104B,-1,other_cluster_1,-1.023496389,14.11206722
FRB20190105A,-1,other_cluster_1,-0.700120211,14.07555866
FRB20190106A,0,repeater_cluster_1,-4.547287464,11.57202148
FRB20190106B,0,repeater_cluster_3,0.776942968,-1.988522887
FRB20190107A,-1,other_cluster_3,8.387263298,-0.886877656
FRB20190107B,-1,other_cluster_2,16.64365578,11.03239918
FRB20190109A,0,repeater_cluster_1,1.46660471,8.804677963
FRB20190109A,-1,other_cluster_6,9.015604973,7.709976673
FRB20190109B,0,repeater_cluster_3,0.932587624,-2.816874027
FRB20190110A,0,repeater_cluster_3,-0.863238573,-2.950584173
FRB20190110B,-1,other_cluster_2,15.6246376,12.63919353
FRB20190110C,0,repeater_cluster_3,-1.391780257,-3.073255301
FRB20190111A,0,repeater_cluster_1,0.456026912,9.687382698
FRB20190111A,-1,other_cluster_3,8.324954987,0.6257658
FRB20190111A,-1,other_cluster_3,7.86077404,-1.172380209
FRB20190111B,-1,other_cluster_3,7.200139523,-1.068479419
FRB20190112A,0,repeater_cluster_1,-2.915063858,10.17654896
FRB20190113A,0,repeater_cluster_1,-4.586148739,11.57005978
FRB20190114A,0,repeater_cluster_3,0.004798983,-2.636888504
FRB20190115A,-1,other_cluster_6,12.06219578,7.322567463
FRB20190115B,-1,other_cluster_6,12.01598072,7.30311203
FRB20190116E,0,repeater_cluster_1,0.113451585,11.09023476
FRB20190116D,-1,other_cluster_2,16.0607872,12.49693298
FRB20190116A,1,repeater_cluster_1,-1.181031704,9.756919861
FRB20190116B,1,repeater_cluster_2,2.085241556,0.260775268
FRB20190116C,0,repeater_cluster_1,-0.593348742,9.973340988
FRB20190116F,0,repeater_cluster_1,0.443751276,9.702002525
FRB20190117C,0,repeater_cluster_1,0.26943779,9.800930977
FRB20190117D,-1,other_cluster_6,13.19745255,8.308258057
FRB20190117A,1,repeater_cluster_3,-1.594609022,-1.519027233
FRB20190118B,0,repeater_cluster_1,-0.236914709,9.751291275
FRB20190118A,0,repeater_cluster_2,1.665912747,0.318247288
FRB20190121A,-1,other_cluster_6,8.925663948,7.718468189
FRB20190122B,0,repeater_cluster_1,-0.329549909,11.02374554
FRB20190122C,-1,other_cluster_6,10.88789082,7.133257866
FRB20190122C,-1,other_cluster_6,8.575587273,7.622807503
FRB20190122C,-1,other_cluster_5,11.80989933,4.423712254
FRB20190122C,-1,other_cluster_3,8.493879318,-0.695822418
FRB20190122C,-1,other_cluster_6,10.63465595,7.119889259
FRB20190122C,-1,other_cluster_4,13.04805183,0.671236873
FRB20190122A,0,repeater_cluster_1,-0.216399685,11.06169891
FRB20190124A,-1,other_cluster_6,8.851665497,7.736459255
FRB20190124B,-1,other_cluster_6,12.81801701,7.85470295
FRB20190124C,-1,other_cluster_6,12.94808865,7.996078491
FRB20190124C,-1,other_cluster_5,11.92687416,4.002877235
FRB20190124D,-1,other_cluster_3,7.995831966,-1.103187799
FRB20190124E,0,repeater_cluster_1,0.617705047,9.542662621
FRB20190124F,-1,other_cluster_3,7.257885456,-1.036465168
FRB20190125A,0,repeater_cluster_1,-1.555470705,9.66664505
FRB20190125B,0,repeater_cluster_1,0.884373605,9.317397118
FRB20190126A,1,repeater_cluster_1,-2.265438557,8.198325157
FRB20190127B,-1,other_cluster_6,7.158473015,7.59143877
FRB20190128A,-1,other_cluster_2,15.90789986,13.01977444
FRB20190128B,-1,other_cluster_6,9.490018845,7.619342327
FRB20190128C,0,repeater_cluster_2,2.188039303,0.272630394
FRB20190128D,-1,other_cluster_4,13.21840477,0.383481175
FRB20190129A,0,repeater_cluster_1,-2.981883049,10.24934196
FRB20190130A,0,repeater_cluster_2,1.546353102,0.388117522
FRB20190130B,0,repeater_cluster_3,-1.08886075,-1.848049998
FRB20190131E,0,repeater_cluster_2,1.599230409,0.362680942
FRB20190131D,-1,other_cluster_6,9.819286346,7.481972218
FRB20190131D,0,repeater_cluster_1,1.426145077,8.841463089
FRB20190131C,-1,other_cluster_6,10.01749706,7.447393894
FRB20190131B,0,repeater_cluster_1,-4.623758316,11.53713703
FRB20190201B,-1,other_cluster_3,7.603743553,-0.83488512
FRB20190201A,-1,other_cluster_6,11.17308617,7.40929985
FRB20190202B,-1,other_cluster_6,8.190317154,7.93948698
FRB20190202A,-1,other_cluster_5,11.7790432,5.103762627
FRB20190203B,-1,other_cluster_5,11.91145611,4.070720673
FRB20190203A,0,repeater_cluster_2,1.505946994,0.411681533
FRB20190203C,-1,other_cluster_1,-0.788507938,13.9234457
FRB20190204A,0,repeater_cluster_3,2.216147423,-2.014097929
FRB20190204B,-1,other_cluster_6,6.97318697,7.627592087
FRB20190205A,0,repeater_cluster_2,2.207550764,0.141281337
FRB20190206C,-1,other_cluster_6,12.60872555,7.678072929
FRB20190206B,-1,other_cluster_3,8.469192505,1.607340574
FRB20190206A,0,repeater_cluster_2,2.894237757,1.089690804
FRB20190208B,-1,other_cluster_4,13.13255215,0.538867354
FRB20190208C,0,repeater_cluster_2,1.856739163,0.253303945
FRB20190208A,1,repeater_cluster_1,-2.270070314,8.243755341
FRB20190208A,1,repeater_cluster_3,-2.356299162,-0.951026797
FRB20190208A,1,repeater_cluster_3,-2.086924553,-1.170512199
FRB20190208A,1,repeater_cluster_3,-0.402266949,-2.121766806
FRB20190209A,1,repeater_cluster_3,-0.381798774,-2.078848839
FRB20190210B,-1,other_cluster_4,13.28975391,0.248627409
FRB20190210C,-1,other_cluster_6,12.40327263,7.527444839
FRB20190210A,1,repeater_cluster_3,-0.273009181,-2.109999657
FRB20190210D,0,repeater_cluster_1,-0.756969988,9.508516312
FRB20190210E,0,repeater_cluster_2,2.183558464,0.062709853
FRB20190211A,0,repeater_cluster_1,-1.626527071,9.728643417
FRB20190211B,-1,other_cluster_5,12.25403595,5.829630375
FRB20190212B,-1,other_cluster_4,13.29500771,0.287936389
FRB20190212C,-1,other_cluster_6,10.19736481,7.251159191
FRB20190212D,-1,other_cluster_3,8.493037224,-0.724324107
FRB20190212A,1,repeater_cluster_2,2.802312851,-0.09918873
FRB20190213A,1,repeater_cluster_3,0.946709573,-2.747741699
FRB20190213C,-1,other_cluster_1,-0.611606538,14.04151344
FRB20190213B,1,repeater_cluster_1,-2.063379526,9.303696632
FRB20190213B,1,repeater_cluster_3,-1.671050429,-1.431495667
FRB20190213D,0,repeater_cluster_1,-1.349074006,9.758042336
FRB20190214A,-1,other_cluster_1,-1.003828406,14.06213188
FRB20190214C,-1,other_cluster_3,8.363767624,0.311805546
FRB20190215B,-1,other_cluster_2,16.29091644,12.26723766
FRB20190216A,1,repeater_cluster_2,2.230640173,0.193398729
FRB20190217A,-1,other_cluster_6,9.236937523,7.669387341
FRB20190217B,-1,other_cluster_2,16.80305099,12.3764143
FRB20190218A,-1,other_cluster_6,11.08994293,7.453111649
FRB20190218B,0,repeater_cluster_1,-2.25868392,8.112575531
FRB20190218C,-1,other_cluster_3,8.257307053,-0.022484917
FRB20190219A,-1,other_cluster_2,16.68988228,13.01512432
FRB20190219B,0,repeater_cluster_1,0.783515394,9.429346085
FRB20190219C,0,repeater_cluster_1,0.770016432,9.394284248
FRB20190220A,-1,other_cluster_3,7.94214344,-1.153093219
FRB20190221A,-1,other_cluster_3,7.196062565,-1.057201982
FRB20190221B,-1,other_cluster_2,16.15706635,12.38752079
FRB20190221C,0,repeater_cluster_1,-0.535749376,9.934421539
FRB20190221D,-1,other_cluster_6,12.98106289,8.034414291
FRB20190222B,-1,other_cluster_3,6.812901497,-1.409626722
FRB20190222C,0,repeater_cluster_3,1.322216034,-1.955631256
FRB20190222A,1,repeater_cluster_3,-1.412571669,-3.057047367
FRB20190222D,0,repeater_cluster_1,1.558745623,8.716324806
FRB20190223A,0,repeater_cluster_3,-0.209821016,-2.483624458
FRB20190223B,0,repeater_cluster_1,0.411283612,9.730577469
FRB20190224A,0,repeater_cluster_3,1.008642077,-2.822203875
FRB20190224B,-1,other_cluster_6,11.23206329,7.39445734
FRB20190224C,0,repeater_cluster_1,-0.327436596,11.02686691
FRB20190224D,-1,other_cluster_6,8.27008152,7.919286728
FRB20190224E,-1,other_cluster_5,12.19675446,5.72222805
FRB20190226A,-1,other_cluster_6,9.085748672,7.699775696
FRB20190226B,0,repeater_cluster_1,-1.032881498,8.810826302
FRB20190226C,0,repeater_cluster_3,1.735959291,-1.761161685
FRB20190227A,0,repeater_cluster_1,1.207402229,9.036416054
FRB20190227B,-1,other_cluster_2,15.77027321,13.1116581
FRB20190228A,0,repeater_cluster_1,-2.360729218,9.804780006
FRB20190228B,-1,other_cluster_5,11.80884743,4.773095131
FRB20190301B,-1,other_cluster_3,6.733757973,-1.474722385
FRB20190301C,-1,other_cluster_2,16.82167625,12.903512
FRB20190301D,0,repeater_cluster_3,1.893446922,-1.688486099
FRB20190301A,1,repeater_cluster_1,-2.398930311,8.047539711
FRB20190301A,1,repeater_cluster_3,-2.378204823,-0.923326075
FRB20190302A,-1,other_cluster_2,16.76307106,11.55814743
FRB20190303B,-1,other_cluster_2,16.74151611,11.45438385
FRB20190303C,-1,other_cluster_6,12.3360405,7.488456726
FRB20190303D,-1,other_cluster_4,13.29498482,0.291454405
FRB20190303A,1,repeater_cluster_1,-2.185843706,9.038913727
FRB20190304A,0,repeater_cluster_3,0.895908952,-2.759783506
FRB20190304B,-1,other_cluster_3,7.974134445,-1.124736428
FRB20190304C,0,repeater_cluster_3,-0.147763863,-2.229009628
FRB20190308C,0,repeater_cluster_3,1.00408411,-1.947184563
FRB20190308C,0,repeater_cluster_3,1.025576591,-1.94416666
FRB20190308B,0,repeater_cluster_2,1.967418194,0.212305084
FRB20190308B,0,repeater_cluster_3,1.938200712,-1.33799696
FRB20190309A,0,repeater_cluster_3,1.250798941,-1.939175963
FRB20190313B,-1,other_cluster_2,16.73882484,12.86856651
FRB20190313A,1,repeater_cluster_1,-4.40391922,11.3864727
FRB20190316A,-1,other_cluster_6,8.271511078,7.883986473
FRB20190317A,0,repeater_cluster_1,1.484629989,8.790122986
FRB20190317B,-1,other_cluster_6,9.636057854,7.555264473
FRB20190317C,-1,other_cluster_5,12.13568306,5.510187626
FRB20190317F,-1,other_cluster_5,12.30578136,5.99724102
FRB20190317E,-1,other_cluster_1,-0.988131762,14.06875992
FRB20190318A,-1,other_cluster_2,16.78800201,11.66741371
FRB20190319A,0,repeater_cluster_1,0.444625825,9.70068264
FRB20190320A,-1,other_cluster_2,16.71589661,12.7234745
FRB20190320B,-1,other_cluster_2,15.91009903,12.9806509
FRB20190320C,-1,other_cluster_6,12.51420116,7.608853817
FRB20190320D,0,repeater_cluster_1,0.440324605,9.695975304
FRB20190320E,0,repeater_cluster_1,1.286965847,8.971274376
FRB20190322A,-1,other_cluster_6,7.111912727,7.614903927
FRB20190322B,-1,other_cluster_4,13.02472687,0.790782332
FRB20190322C,-1,other_cluster_2,16.81822777,11.70734406
FRB20190323A,-1,other_cluster_6,7.875933647,7.903000832
FRB20190323B,0,repeater_cluster_1,1.333725333,8.928600311
FRB20190323C,-1,other_cluster_5,11.88263702,4.11989069
FRB20190323D,0,repeater_cluster_3,2.244944334,-2.516657352
FRB20190325A,-1,other_cluster_2,16.20503044,12.40410805
FRB20190325B,-1,other_cluster_6,11.20964909,7.366448879
FRB20190325C,-1,other_cluster_6,7.914014339,7.904062748
FRB20190326A,-1,other_cluster_6,12.00472355,7.229490757
FRB20190327A,-1,other_cluster_2,16.20108223,12.36941147
FRB20190328A,-1,other_cluster_2,16.93610382,12.82691193
FRB20190328B,-1,other_cluster_6,7.114965916,7.645168304
FRB20190328C,-1,other_cluster_6,11.99234581,7.357396126
FRB20190329A,0,repeater_cluster_3,-1.904464602,-3.164614677
FRB20190330A,-1,other_cluster_2,15.79040432,13.03082752
FRB20190330B,-1,other_cluster_6,12.69753551,7.753712654
FRB20190401A,-1,other_cluster_6,11.17949009,7.385242939
FRB20190402A,-1,other_cluster_3,8.333971024,0.200870827
FRB20190403G,0,repeater_cluster_2,2.479993343,0.685786545
FRB20190403A,-1,other_cluster_6,9.626707077,7.556343555
FRB20190403B,-1,other_cluster_5,11.8792181,4.087812424
FRB20190403C,-1,other_cluster_3,8.285906792,-1.002008915
FRB20190403D,-1,other_cluster_4,13.3337698,0.245213076
FRB20190403E,0,repeater_cluster_1,-1.094127059,9.726701736
FRB20190403F,-1,other_cluster_2,16.80799294,12.31853008
FRB20190404A,-1,other_cluster_2,16.44381332,12.69654274
FRB20190404B,-1,other_cluster_4,13.01107025,0.773011625
FRB20190405A,-1,other_cluster_5,11.94234943,4.198933125
FRB20190405B,0,repeater_cluster_1,0.691445947,9.505678177
FRB20190406A,1,other_cluster_3,8.487442017,1.771787167
FRB20190408A,0,repeater_cluster_1,-2.104635477,8.110796928
FRB20190409A,-1,other_cluster_6,8.982528687,7.704702377
FRB20190409B,-1,other_cluster_3,8.443155289,1.821736813
FRB20190409C,-1,other_cluster_6,13.19679928,8.308884621
FRB20190409D,-1,other_cluster_6,9.716921806,7.5732131
FRB20190410A,0,repeater_cluster_2,2.528999329,0.727312505
FRB20190410B,0,repeater_cluster_3,0.752759874,-1.984397411
FRB20190411A,-1,other_cluster_1,-0.601749241,14.09455585
FRB20190411B,-1,other_cluster_6,9.751067162,7.519116879
FRB20190411C,0,repeater_cluster_1,-1.007841468,9.730825424
FRB20190411C,0,repeater_cluster_1,0.143588558,9.749591827
FRB20190412A,0,repeater_cluster_1,-0.246972099,11.05069828
FRB20190412B,-1,other_cluster_3,7.843997002,-1.165279746
FRB20190414A,-1,other_cluster_4,13.01626587,0.805781841
FRB20190414B,-1,other_cluster_2,16.24691772,12.64125347
FRB20190415A,-1,other_cluster_6,11.11742687,7.424404621
FRB20190415B,-1,other_cluster_6,8.913933754,7.702653885
FRB20190415C,-1,other_cluster_3,8.321231842,0.817608476
FRB20190416A,-1,other_cluster_5,12.15423965,5.588472843
