eventname,datetime
FRB20181119A,2022-03-21 08:42:07.409758
FRB20181128A,2019-11-28 08:27:41.74
FRB20181128A,2018-12-19 07:04:41.6780
FRB20181128A,2019-03-02 02:19:57.107653
FRB20181128A,2019-05-27 20:39:41.688788
FRB20181128A,2021-08-16 15:17:41.260710
FRB20181128A,2022-01-07 05:45:11.367145
FRB20181128A,2022-04-08 23:47:03.504046
FRB20181128A,2022-11-01 10:07:17.612047
FRB20181128A,2023-08-06 16:00:38.117099
FRB20181201D,2018-12-01 17:56:48.626399
FRB20181201D,2020-12-24 20:35:21.119459
FRB20181201D,2021-07-29 06:52:44.694049
FRB20181201D,2022-06-15 12:14:45.000903
FRB20181226F,2018-12-26 07:51:49.554626
FRB20181226F,2019-02-01 15:36:12.979199
FRB20181226F,2020-11-11 21:40:33.660923
FRB20190107B,2019-01-07 03:22:14.335283
FRB20190107B,2019-03-08 11:12:28.349801
FRB20190110C,2019-01-10 17:11:37.043968
FRB20190110C,2019-11-07 21:27:57.514411
FRB20190110C,2021-03-22 12:38:11.486200
FRB20190113A,2019-01-13 07:40:31.774105
FRB20190113A,2020-03-21 03:17:34.633886
FRB20190113A,2023-07-12 19:50:15.565240
FRB20190116B,2019-01-16 13:07:33.833
FRB20190116B,2019-01-16 13:08:20.4129
FRB20190117A,2019-01-17 22:18:26.46617
FRB20190117A,2019-06-30 11:34:38.8739
FRB20190117A,2019-08-10 08:52:24.060
FRB20190117A,2019-08-15 08:33:46.5997
FRB20190117A,2019-08-24 07:58:55.880
FRB20190117A,2019-12-23 00:07:07.130260
FRB20190117A,2021-11-14 02:33:57.141422
FRB20190117A,2022-12-23 23:57:26.093801
FRB20190117A,2023-01-06 23:02:30.363724
FRB20190117A,2023-05-04 15:20:15.563320
FRB20190117A,2023-06-04 13:10:58.765286
FRB20190117A,2023-07-12 10:46:21.075179
FRB20190117A,2023-07-13 10:48:14.910228
FRB20190127B,2019-01-27 09:23:21.242910
FRB20190127B,2020-04-29 15:06:05.763504
FRB20190208A,2019-02-08 17:41:42.300
FRB20190208A,2019-04-06 13:55:15.0416
FRB20190208A,2020-01-24 18:42:58.256972
FRB20190208A,2020-03-14 15:22:41.273746
FRB20190208A,2020-04-22 12:46:11.440916
FRB20190208A,2020-05-13 11:24:33.224419
FRB20190208A,2021-02-03 17:58:11.178281
FRB20190208A,2021-06-12 09:27:03.994764
FRB20190208A,2021-10-09 01:41:22.320043
FRB20190208A,2021-12-28 20:25:30.658816
FRB20190208A,2021-12-29 20:19:18.211502
FRB20190208A,2022-10-18 01:07:16.009676
FRB20190208A,2022-11-30 22:15:51.272437
FRB20190208A,2023-03-06 16:00:42.810063
FRB20190208A,2023-06-03 10:01:46.974243
FRB20190209A,2019-02-09 08:20:20.977
FRB20190209A,2019-02-10 08:17:13.907
FRB20190210C,2019-02-10 06:03:43.445114
FRB20190210C,2021-03-16 09:53:46.746962
FRB20190212A,2019-02-12 16:17:23.000000
FRB20190212A,2019-02-13 17:09:28.419
FRB20190212A,2019-05-16 10:35:47.281909
FRB20190212A,2019-10-18 18:33:33.305661
FRB20190212A,2019-12-17 08:38:55.858723
FRB20190212A,2019-12-20 08:37:39.792071
FRB20190212A,2020-07-24 06:46:38.367902
FRB20190212A,2020-07-25 05:38:55.926594
FRB20190212A,2021-02-16 17:10:21.211584
FRB20190212A,2021-04-10 01:01:36.991027
FRB20190212A,2021-08-05 06:09:26.433149
FRB20190212A,2022-04-21 12:31:52.533004
FRB20190213A,2019-02-12 00:42:17.295
FRB20190213A,2019-05-15 18:33:37.853
FRB20190222A,2019-02-22 18:46:01.3679
FRB20190222A,2019-03-01 18:03:02.4799
FRB20190226B,2019-02-26 15:48:01.116244
FRB20190226B,2020-01-18 18:18:23.514127
FRB20190226B,2020-10-04 01:14:33.282096
FRB20190303A,2019-03-03 11:05:13.695
FRB20190303A,2019-04-21 08:00:07.2616
FRB20190303A,2019-07-02 03:14:39.7628
FRB20190303A,2019-10-13 20:31:26.275515
FRB20190303A,2019-10-20 19:48:50.883678
FRB20190303A,2019-10-29 19:24:06.307092
FRB20190303A,2019-11-10 18:33:01.522606
FRB20190303A,2019-11-13 18:12:27.576391
FRB20190303A,2019-11-16 18:09:51.183575
FRB20190303A,2019-11-17 18:18:31.470272
FRB20190303A,2019-12-15 16:13:43.383854
FRB20190303A,2019-12-31 15:17:49.518761
FRB20190303A,2020-01-12 14:26:34.117442
FRB20190303A,2020-06-13 04:30:36.267056
FRB20190303A,2020-06-22 03:51:52.524667
FRB20190303A,2020-09-09 22:30:03.587742
FRB20190303A,2020-12-12 16:21:03.349340
FRB20190303A,2021-02-09 12:33:26.784809
FRB20190303A,2021-05-14 06:27:09.535040
FRB20190303A,2021-05-23 05:37:19.780359
FRB20190303A,2021-06-06 04:42:02.997504
FRB20190303A,2021-10-14 20:16:38.760192
FRB20190303A,2021-11-25 17:34:52.565586
