repeater_name,tns_name,mjd_400,count,wait,log_wait,catalog,eventname
FRB20191106C,FRB20210212C,59257.4875423999,7,72.79729152469372,1.86211522137675,Catalog 2023,
FRB20191106C,FRB20210316C,59289.3989053264,7,31.911362926504808,1.503945353200715,Catalog 2023,
FRB20191114A,FRB20191114A,58801.9461351943,3,,,Catalog 2023,
FRB20191114A,FRB20200418A,58957.5124358818,3,155.56630068749655,2.1919155244625514,Catalog 2023,
FRB20191114A,FRB20200614B,59014.3576105199,3,56.845174638103344,1.7546936050486055,Catalog 2023,
FRB20200118D,FRB20200118D,58866.30273105,3,,,Catalog 2023,
FRB20200118D,FRB20200701A,59031.8498313158,3,165.54710026580142,2.2189215780232083,Catalog 2023,
FRB20200118D,FRB20200701A,59031.8498314076,3,9.180075721815228e-08,-7.037153736507811,Catalog 2023,
FRB20200127B,FRB20200127B,58875.8337259276,2,,,Catalog 2023,
FRB20200127B,FRB20200219B,58898.7690868242,2,22.935360896597558,1.360505578310064,Catalog 2023,
FRB20200202A,FRB20200202A,58881.0356556952,3,,,Catalog 2023,
FRB20200202A,FRB20201014B,59136.3438278184,3,255.3081721231938,2.407064716297421,Catalog 2023,
FRB20200202A,FRB20201014B,59136.3438279597,3,1.4130637282505631e-07,-6.849838251312483,Catalog 2023,
FRB20200223B,FRB20200223B,58902.9294327069,5,,,Catalog 2023,
FRB20200223B,FRB20200702C,59032.575111428,5,129.6456787210991,2.11275804568032,Catalog 2023,
FRB20200223B,FRB20200821B,59082.4403966127,5,49.86528518470004,1.6977983071582639,Catalog 2023,
FRB20200223B,FRB20210115C,59229.0402314966,5,146.59983488389844,2.1661334811574138,Catalog 2023,
FRB20200223B,FRB20210117F,59231.0318223272,5,1.991590830599307,0.29920011809082375,Catalog 2023,
FRB20200320A,FRB20200320A,58928.9545053711,2,,,Catalog 2023,
FRB20200320A,FRB20201105A,59158.3265795774,2,229.37207420630148,2.3605405419158925,Catalog 2023,
FRB20200420A,FRB20200420A,58959.7749104473,4,,,Catalog 2023,
FRB20200420A,FRB20200420A,58959.774910564,4,1.1670636013150215e-07,-6.93290547561916,Catalog 2023,
