,frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference,redshift,redshift_measured,ra_error,dec_error,dm_error,raw,notes,high_freq,low_freq
32,FRB20150602A,2/6/2015 16:38,57175.69314,Arecibo,32:01.0,+33:07:53.00,174.9,-0.22,1375,555,0.04,4.6,-,-,https://www.wis-tns.org/object/20150602a,0.2966,0.19273,1.75,1.75,3,,,,
33,FRB20150602B,2/6/2015 16:47,57175.69973,Arecibo,32:01.0,+33:07:53.00,174.9,-0.22,1375,558,0.02,8.7,-,-,https://www.wis-tns.org/object/20150602b,0.2995,0.19273,1.75,1.75,10,,,,
34,FRB20150602C,2/6/2015 17:49,57175.74258,Arecibo,31:55.0,+33:08:13.00,174.88,-0.24,1375,559,0.02,2.8,-,-,https://www.wis-tns.org/object/20150602c,0.3006,0.19273,1.75,1.75,10,,,,
35,FRB20150602D,2/6/2015 17:49,57175.74284,Arecibo,31:55.0,+33:08:13.00,174.88,-0.24,1375,559,0.02,6.1,-,-,https://www.wis-tns.org/object/20150602d,0.3006,0.19273,1.75,1.75,-,,,,
36,FRB20150602E,2/6/2015 17:50,57175.74351,Arecibo,31:55.0,+33:08:13.00,174.88,-0.24,1375,556.5,0.14,6.6,-,-,https://www.wis-tns.org/object/20150602e,0.2981,0.19273,1.75,1.75,3.7,,,,
37,FRB20150602F,2/6/2015 17:53,57175.74567,Arecibo,31:55.0,+33:08:13.00,174.88,-0.24,1375,557.4,0.05,6,-,-,https://www.wis-tns.org/object/20150602f,0.299,0.19273,1.75,1.75,3.7,,,,
38,FRB20150602G,2/6/2015 17:56,57175.74762,Arecibo,31:55.0,+33:08:13.00,174.88,-0.24,1375,558.7,0.05,8,-,-,https://www.wis-tns.org/object/20150602g,0.3003,0.19273,1.75,1.75,4.9,,,,
39,FRB20150602H,2/6/2015 17:57,57175.74829,Arecibo,31:55.0,+33:08:13.00,174.88,-0.24,1375,556.5,0.31,3.06,-,-,https://www.wis-tns.org/object/20150602h,0.2981,0.19273,1.75,1.75,1.1,,,,
40,FRB20150610A,10/6/2015 5:26,57183.22708,Parkes,44:26.0,-40:05:23.00,278.09,16.58,1352,1593.9,0.7,2,1.3,18,https://www.wis-tns.org/object/20150610a,1.4093,-,7.5,7.5,0.6,,,,
41,FRB20150807A,7/8/2015 17:53,57241.74579,Parkes,42:31.0,-55:04:42.00,333.89,-53.6,1352,266.5,128,0.35,44.8,-,https://www.wis-tns.org/object/20150807a,0.2708,-,7.5,7.5,0.1,,,,
42,FRB20151018A,18/10/2015 1:05,57313.04569,LPA,21:00.0,+33:06:00.00,173.64,-2.16,111,570,1.4,2500,3500,6.2,https://www.wis-tns.org/object/20151018a,0.3235,-,-,-,5,,,,
43,FRB20151113A,13/11/2015 8:32,57339.35605,GBT,31:58.0,+33:08:04.00,174.89,-0.23,2000,559.9,0.04,6.73,-,-,https://www.wis-tns.org/object/20151113a,0.3014,0.19273,2.9,2.9,7.1,,,,
44,FRB20151119A,19/11/2015 10:44,57345.44769,GBT,31:58.0,+33:08:04.00,174.89,-0.23,2000,565.1,0.06,6.1,-,-,https://www.wis-tns.org/object/20151119a,0.3062,0.19273,2.9,2.9,5.2,,,,
45,FRB20151119B,19/11/2015 10:51,57345.45249,GBT,31:58.0,+33:08:04.00,174.89,-0.23,2000,568.8,0.04,6.14,-,-,https://www.wis-tns.org/object/20151119b,0.3097,0.19273,1.75,1.75,6.6,,,,
46,FRB20151119C,19/11/2015 10:58,57345.4576,GBT,31:58.0,+33:08:04.00,174.89,-0.23,2000,560,0.02,4.3,-,-,https://www.wis-tns.org/object/20151119c,0.3015,0.19273,2.9,2.9,-,,,,
47,FRB20151119D,19/11/2015 11:05,57345.46241,GBT,31:58.0,+33:08:04.00,174.89,-0.23,2000,560,0.09,5.97,-,-,https://www.wis-tns.org/object/20151119d,0.3015,0.19273,2.9,2.9,6.4,,,,
48,FRB20151125A,25/11/2015 15:42,57351.65458,LPA,31:00.0,+30:58:48.00,132.84,-31.13,111,273,0.54,1470,2360,7.2,https://www.wis-tns.org/object/20151125a,0.2609,-,-,-,4,,,,
49,FRB20151206A,6/12/2015 6:17,57362.26242,Parkes,21:25.0,-04:07:54.00,32.65,-8.55,1352,1909.8,0.3,3,0.9,10,https://www.wis-tns.org/object/20151206a,1.6824,-,7.5,7.5,0.6,,,,
50,FRB20151208A,8/12/2015 4:54,57364.20463,Arecibo,31:58.0,+33:08:04.00,174.89,-0.23,1430,558.6,0.03,2.5,-,-,https://www.wis-tns.org/object/20151208a,0.3001,0.19273,1.55,1.55,1.7,,,,
51,FRB20151230A,30/12/2015 16:15,57386.67762,Parkes,40:50.0,-03:27:05.00,238.96,34.82,1352,960.4,0.42,4.4,1.9,17,https://www.wis-tns.org/object/20151230a,0.8986,-,7.5,7.5,0.5,,,,
52,FRB20160102A,2/1/2016 8:28,57389.35323,Parkes,38:49.0,-30:10:50.00,18.98,-60.85,1352,2596.1,0.5,3.4,1.8,16,https://www.wis-tns.org/object/20160102a,2.5489,-,7.5,7.5,0.3,,,,
53,FRB20160206A,6/2/2016 10:26,57424.4353,LPA,01:00.0,+41:37:48.00,124.85,-21.21,111,1262,0.26,1590,1780,7.9,https://www.wis-tns.org/object/20160206a,1.1515,-,-,-,5,,,,
54,FRB20160317A,17/3/2016 9:00,57464.37542,UTMOST,53:47.0,-29:36:31.00,246.05,-1,843,1165,3,21,63,13,https://www.wis-tns.org/object/20160317a,0.7597,-,0.04,84,11,,,,
55,FRB20160410A,10/4/2016 8:33,57488.35671,UTMOST,41:25.0,+06:05:05.00,220.36,27.19,843,278,7,4,28,13,https://www.wis-tns.org/object/20160410a,0.2515,-,0.04,84,3,,,,
56,FRB20160608A,8/6/2016 3:53,57547.16182,UTMOST,36:42.0,-40:47:52.00,254.11,-9.54,843,682,4.3,9,38.7,12,https://www.wis-tns.org/object/20160608a,0.3965,-,0.18,252,7,,,,
57,FRB20160823A,23/8/2016 17:51,57623.74403,VLA,31:58.7,+33:08:53.00,174.88,-0.22,3000,567,-,2,-,38,https://www.wis-tns.org/object/20160823a,0.3079,0.19273,0.04,1.81,2,,,,
