,frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference,redshift,redshift_measured,ra_error,dec_error,dm_error,raw,notes,high_freq,low_freq
221,FRB20181124B,24/11/2018 1:03,58446.0442,CHIME,14:14.4,+29:52:48,76.69,-12.9,800.2,800.7,2.6,3.93,5,29,https://www.chime-frb.ca/catalog/FRB20181124B,0.7105,-,10.2,10.8,1.62,,,800.2,400.2
222,FRB20181125A,25/11/2018 13:37,58447.56772,CHIME,51:45.6,+33:55:48,191.63,51.04,434.5,278.2,0.4,14.75,3,18.3,https://www.chime-frb.ca/catalog/FRB20181125A,0.2829,-,10.8,2.46,6.47,,,533.7,400.2
223,FRB20181125A,25/11/2018 13:37,58447.56772,CHIME,51:45.6,+33:55:48,191.63,51.04,434.5,278.2,0.4,14.75,3,18.3,https://www.chime-frb.ca/catalog/FRB20181125A,0.2829,-,10.8,2.46,6.47,,,552,400.2
224,FRB20181125A,25/11/2018 13:37,58447.56772,CHIME,51:45.6,+33:55:48,191.63,51.04,434.5,278.2,0.4,14.75,3,18.3,https://www.chime-frb.ca/catalog/FRB20181125A,0.2829,-,10.8,2.46,6.47,,,520.9,400.2
225,FRB20181126A,26/11/2018 21:00,58448.87558,CHIME,28:12.0,+81:10:12,113.17,29.87,441.8,493.3,3,1.97,9,51.6,https://www.chime-frb.ca/catalog/FRB20181126A,0.4673,-,10.8,11.4,1.62,,,518.1,400.2
226,FRB20181127A,27/11/2018 19:46,58449.82372,CHIME,15:12.0,+25:25:48,43.06,44.81,479.3,930.1,0.8,3.93,3,15.7,https://www.chime-frb.ca/catalog/FRB20181127A,0.8789,-,13.8,15,1.62,,,592.3,400.2
227,FRB20181128A,28/11/2018 8:27,58450.35257,CHIME,55:40.8,+63:13:12,146.63,12.45,618.9,446.4,0.6,21.63,8,23.4,https://www.chime-frb.ca/catalog/FRB20181128A,0.3237,-,8.4,4.38,6.47,,,735.5,520.7
228,FRB20181128A,28/11/2018 8:27,58450.35257,CHIME,55:40.8,+63:13:12,146.63,12.45,618.9,446.4,0.6,21.63,8,23.4,https://www.chime-frb.ca/catalog/FRB20181128A,0.3237,-,8.4,4.38,6.47,,,610.4,400.2
229,FRB20181128B,28/11/2018 14:02,58450.58537,CHIME,28:52.8,+38:16:48,183.6,58.29,400.2,454.5,0.3,5.9,1.9,13.3,https://www.chime-frb.ca/catalog/FRB20181128B,0.4544,-,12,2.88,1.62,,,661.3,400.2
230,FRB20181128C,28/11/2018 21:21,58450.89015,CHIME,55:04.8,+49:42:36,77.03,29,480.3,614.6,0.4,14.75,3,11,https://www.chime-frb.ca/catalog/FRB20181128C,0.5816,-,1.38,12,6.47,,,572.1,403.2
231,FRB20181128C,28/11/2018 21:21,58450.89015,CHIME,55:04.8,+49:42:36,77.03,29,480.3,614.6,0.4,14.75,3,11,https://www.chime-frb.ca/catalog/FRB20181128C,0.5816,-,1.38,12,6.47,,,590.8,400.2
232,FRB20181128D,28/11/2018 17:53,58450.74541,CHIME,22:28.8,+59:55:48,103.75,53.66,400.2,147.2,3,1.97,7,47,https://www.chime-frb.ca/catalog/FRB20181128D,0.1479,-,1.86,7.2,1.62,,,800.2,400.2
233,FRB20181129A,29/11/2018 3:08,58451.13063,CHIME,40:28.8,+44:57:00,109.97,-16.13,518.2,386.6,1.5,2.95,3,25.4,https://www.chime-frb.ca/catalog/FRB20181129A,0.3332,-,10.8,10.2,1.62,,,800.2,400.2
234,FRB20181129B,29/11/2018 11:33,58451.48168,CHIME,30:14.4,+81:19:12,114.26,23.39,556.8,406,4,1.97,9,11.8,https://www.chime-frb.ca/catalog/FRB20181129B,0.3709,-,15.6,20.4,1.62,,,642.7,482.3
235,FRB20181129C,29/11/2018 19:00,58451.79195,CHIME,33:31.2,+40:01:48,62.5,44.56,560.6,503,0.8,4.92,4,18.3,https://www.chime-frb.ca/catalog/FRB20181129C,0.4912,-,11.4,11.4,1.62,,,800.2,400.2
236,FRB20181130A,30/11/2018 3:03,58452.12719,CHIME,40:45.6,+46:29:24,110.94,-14.97,412.1,218.4,1,0.98,1.3,20.9,https://www.chime-frb.ca/catalog/FRB20181130A,0.1566,-,1.86,10.2,1.62,,,515.9,400.2
237,FRB20181130B,30/11/2018 12:57,58452.54267,FAST,0:39:08,+19:24:31.70,118.94,-43.37,1330,1705.5,0.0206,9.52,0.168,30.9,https://arxiv.org/2102.10546,1.6089,-,-,-,6.5,,,,
238,FRB20181201A,1/12/2018 17:39,58453.73548,CHIME,19:50.4,+39:16:12,71.97,67.97,419,698.7,0.4,125.83,19,17.8,https://www.chime-frb.ca/catalog/FRB20181201A,0.6746,-,11.4,11.4,25.88,,,795,400.2
239,FRB20181201B,1/12/2018 21:26,58453.89346,CHIME,13:31.2,+56:18:36,84.88,27.43,429.4,875.1,0.7,3.93,2.2,14.2,https://www.chime-frb.ca/catalog/FRB20181201B,0.8135,-,13.2,12.6,1.62,,,800.2,400.2
240,FRB20181202A,2/12/2018 2:41,58454.11229,CHIME,24:02.4,+17:21:36,95.02,-40.73,505.7,669.6,2.6,6.88,14,27,https://www.chime-frb.ca/catalog/FRB20181202A,0.6404,-,10.2,12,3.23,,,800.2,400.2
241,FRB20181202B,2/12/2018 16:44,58454.69746,CHIME,31:19.2,+64:43:12,116.09,51.88,590.1,826.5,1,4.92,4,16.1,https://www.chime-frb.ca/catalog/FRB20181202B,0.7872,-,12,12,1.62,,,800.2,400.2
242,FRB20181202C,2/12/2018 23:37,58454.98413,CHIME,28:31.2,+57:01:48,92.61,10.59,487.4,558,0.5,7.86,3,10.4,https://www.chime-frb.ca/catalog/FRB20181202C,0.4199,-,10.8,12,1.62,,,800.2,400.2
243,FRB20181203A,3/12/2018 5:25,58455.22587,CHIME,14:24.0,+23:34:12,146.46,-35.48,800.2,635.7,1.7,2.95,4,19.2,https://www.chime-frb.ca/catalog/FRB20181203A,0.6037,-,1.62,11.4,1.62,,,800.2,515.2
244,FRB20181203B,3/12/2018 6:23,58455.26617,CHIME,09:14.4,+24:01:12,159.15,-28.99,693.2,373.6,1.4,3.93,5,25.6,https://www.chime-frb.ca/catalog/FRB20181203B,0.3468,-,0.24,7.2,1.62,,,800.2,550.8
245,FRB20181203C,3/12/2018 16:16,58455.67836,CHIME,13:55.2,+72:56:24,120.7,44.09,400.2,2442.4,1,11.8,5,10.3,https://www.chime-frb.ca/catalog/FRB20181203C,2.3758,-,6,11.4,3.23,,,800.2,400.2
246,FRB20181208A,8/12/2018 20:33,58460.85629,CHIME,37:43.2,+62:37:12,92.81,44.78,400.3,561.3,0.9,4.92,4,22.3,https://www.chime-frb.ca/catalog/FRB20181208A,0.5449,-,13.2,11.4,0.81,,,800.2,400.2
247,FRB20181209A,9/12/2018 9:24,58461.39227,CHIME,32:38.4,+68:41:24,146.41,23.57,403.5,328.4,2,1.97,3,24.2,https://www.chime-frb.ca/catalog/FRB20181209A,0.2886,-,12.6,12.6,0.81,,,544.7,400.2
248,FRB20181213A,13/12/2018 11:08,58465.46401,CHIME,30:38.4,+73:52:12,140.31,32.75,400.2,677.7,0.9,2.95,3,16.1,https://www.chime-frb.ca/catalog/FRB20181213A,0.6373,-,12,6,0.81,,,800.2,400.2
249,FRB20181213B,13/12/2018 14:47,58465.61613,CHIME,14:04.8,+53:42:00,134.97,62.56,664,626,0.8,4.92,2,12.3,https://www.chime-frb.ca/catalog/FRB20181213B,0.6099,-,13.2,13.8,0.81,,,800.2,529.6
250,FRB20181213C,13/12/2018 17:00,58465.70857,CHIME,25:36.0,+47:27:36,87.04,62.58,400.2,380.1,0.6,2.95,2,11.7,https://www.chime-frb.ca/catalog/FRB20181213C,0.3831,-,15,13.8,0.81,,,800.2,400.2
251,FRB20181214A,14/12/2018 7:08,58466.2974,CHIME,40:00.0,+43:04:12,160.83,-2.36,435,467.5,0.16,2.95,0.4,25.4,https://www.chime-frb.ca/catalog/FRB20181214A,0.2359,-,10.8,10.8,1.62,,,494.6,400.2
252,FRB20181214B,14/12/2018 11:40,58466.48635,CHIME,15:09.6,+42:08:60,179.26,43.89,400.2,1120.9,0.4,2.95,1.2,10.2,https://www.chime-frb.ca/catalog/FRB20181214B,1.0507,-,13.2,4.62,1.62,,,800.2,400.2
253,FRB20181214C,14/12/2018 14:16,58466.59482,CHIME,43:43.2,+60:01:12,137.65,55.02,400.2,632.4,1.2,5.9,5,29.1,https://www.chime-frb.ca/catalog/FRB20181214C,0.6136,-,7.2,2.88,1.62,,,800.2,400.2
254,FRB20181214D,14/12/2018 14:20,58466.59787,CHIME,54:16.8,+46:42:36,149.07,67.41,700.7,1171.1,0.6,16.71,9,18.2,https://www.chime-frb.ca/catalog/FRB20181214D,1.1078,-,12,11.4,6.47,,,800.2,442.1
255,FRB20181214F,14/12/2018 19:19,58466.80495,CHIME,50:28.8,+32:26:24,54.2,38.48,425.7,2106,0.3,8.85,2.2,11,https://www.chime-frb.ca/catalog/FRB20181214F,2.0131,-,2.82,13.2,3.23,,,514.1,400.2
256,FRB20181215A,15/12/2018 8:39,58467.36085,CHIME,13:31.2,+39:20:24,173.69,10.16,400.2,412.5,0.3,4.92,0.7,9.2,https://www.chime-frb.ca/catalog/FRB20181215A,0.266,-,13.2,5.34,1.62,,,800.2,400.2
257,FRB20181215B,15/12/2018 19:20,58467.80607,CHIME,59:14.4,+47:33:36,73.66,38.22,590.2,493.3,2,1.97,3,24.8,https://www.chime-frb.ca/catalog/FRB20181215B,0.4784,-,10.2,1.8,1.62,,,800.2,400.2
258,FRB20181216A,16/12/2018 22:44,58468.94771,CHIME,25:07.2,+53:31:48,89.4,9,634,541.9,0.9,1.97,2,11,https://www.chime-frb.ca/catalog/FRB20181216A,0.3729,-,13.2,13.8,1.62,,,800.2,434.2
259,FRB20181217A,17/12/2018 21:34,58469.89918,CHIME,22:00.0,+59:47:60,91,19.56,663.5,1175.9,0.6,2.95,1.8,12.5,https://www.chime-frb.ca/catalog/FRB20181217A,1.0667,-,12.6,13.2,1.62,,,800.2,400.2
260,FRB20181218A,18/12/2018 2:37,58470.10957,CHIME,20:14.4,+71:20:60,120.38,8.57,448.4,1873.1,0.8,5.9,2,18.6,https://www.chime-frb.ca/catalog/FRB20181218A,1.5767,-,11.4,4.56,3.23,,,529.3,400.2
261,FRB20181218B,18/12/2018 3:34,58470.14871,CHIME,12:09.6,+69:23:24,124.73,6.59,400.2,752.1,0.6,2.95,2,10.9,https://www.chime-frb.ca/catalog/FRB20181218B,0.4924,-,14.4,15,1.62,,,708.8,400.2
262,FRB20181218C,18/12/2018 21:15,58470.88608,CHIME,03:55.2,+58:14:24,88.6,21.25,472.7,385,0.3,4.92,1.7,9.2,https://www.chime-frb.ca/catalog/FRB20181218C,0.3504,-,13.8,14.4,3.23,,,718.5,400.2
263,FRB20181219A,19/12/2018 7:04,58471.29493,CHIME,55:40.8,+63:13:12,146.6,12.41,527.9,449.7,0.4,17.69,5,10.2,https://www.chime-frb.ca/catalog/FRB20181219A,0.3262,-,8.4,4.38,3.23,,,753.1,400.2
264,FRB20181219B,19/12/2018 2:07,58471.08878,CHIME,03:09.6,+71:32:60,128.22,45.1,800.2,1950.7,5,4.92,30,23.1,https://www.chime-frb.ca/catalog/FRB20181219B,1.8556,-,11.4,21,3.23,,,800.2,555.5
265,FRB20181219C,19/12/2018 3:21,58471.14003,CHIME,11:04.8,+14:06:36,130.19,-48.48,400.2,648.6,0.21,2.95,0.6,18.6,https://www.chime-frb.ca/catalog/FRB20181219C,0.6253,-,12,13.8,1.62,,,735.5,400.2
266,FRB20181220A,20/12/2018 1:07,58472.04666,CHIME,04:26.4,+48:25:48,105.58,-11.04,400.2,208.7,1.3,2.95,3,27.6,https://www.chime-frb.ca/catalog/FRB20181220A,0.1123,-,9.6,9.6,1.62,,,596.4,400.2
267,FRB20181220B,20/12/2018 8:30,58472.35478,CHIME,29:28.8,+84:52:12,117.16,27.45,419.5,257.2,3,1.97,4,13.4,https://www.chime-frb.ca/catalog/FRB20181220B,0.2376,-,13.2,18,1.62,,,800.2,400.2
268,FRB20181221A,21/12/2018 17:22,58473.72402,CHIME,22:19.2,+25:51:36,39.53,56.32,510.1,313.8,1.2,4.92,6,18.6,https://www.chime-frb.ca/catalog/FRB20181221A,0.3173,-,12,12.6,3.23,,,583.3,446.1
269,FRB20181221B,21/12/2018 22:35,58473.94144,CHIME,25:14.4,+80:58:48,113.48,23.76,492.2,1392.7,1,2.95,3,26.7,https://www.chime-frb.ca/catalog/FRB20181221B,1.2775,-,0.24,1.68,1.62,,,597.6,405.4
270,FRB20181222A,22/12/2018 3:59,58474.16624,CHIME,58:00.8,+65:43:00.315,129.72,3.75,713.2,349.4,5,35.39,50,24,https://www.chime-frb.ca/catalog/FRB20181222A,0.0325,-,-,-,12.94,,,800.2,577.7
271,FRB20181222A,22/12/2018 3:59,58474.16624,CHIME,58:00.8,+65:43:00.315,129.72,3.75,713.2,349.4,5,35.39,50,24,https://www.chime-frb.ca/catalog/FRB20181222A,0.0325,-,-,-,12.94,,,800.2,563.5
272,FRB20181222A,22/12/2018 3:59,58474.16624,CHIME,58:00.8,+65:43:00.315,129.72,3.75,713.2,349.4,5,35.39,50,24,https://www.chime-frb.ca/catalog/FRB20181222A,0.0325,-,-,-,12.94,,,800.2,552.4
273,FRB20181222A,22/12/2018 3:59,58474.16624,CHIME,58:00.8,+65:43:00.315,129.72,3.75,713.2,349.4,5,35.39,50,24,https://www.chime-frb.ca/catalog/FRB20181222A,0.0325,-,-,-,12.94,,,780.2,540.4
274,FRB20181222B,22/12/2018 7:54,58474.3296,CHIME,00:09.6,+38:32:60,173.17,7.48,415.1,619.5,0.5,1.97,0.8,9.5,https://www.chime-frb.ca/catalog/FRB20181222B,0.4314,-,13.8,4.5,1.62,,,798.6,400.2
275,FRB20181222C,22/12/2018 10:49,58474.45082,CHIME,44:12.0,+68:19:48,146.47,35.35,400.2,1104.8,0.8,3.93,3,11,https://www.chime-frb.ca/catalog/FRB20181222C,1.0279,-,13.8,15,1.62,,,727.4,400.2
276,FRB20181222D,22/12/2018 14:33,58474.60662,CHIME,32:48.0,+56:09:36,128.22,60.73,443,1413.7,0.2,22.61,1.2,10.5,https://www.chime-frb.ca/catalog/FRB20181222D,1.3325,-,13.8,5.04,3.23,,,561.3,400.2
277,FRB20181222E,22/12/2018 17:15,58474.7189,CHIME,22:33.6,+86:58:12,172.52,27.52,455.2,328.4,1.1,3.93,6,17.7,https://www.chime-frb.ca/catalog/FRB20181222E,0.2937,-,2.64,15,1.62,,,639.5,400.2
278,FRB20181222E,22/12/2018 17:15,58474.7189,CHIME,22:33.6,+86:58:12,172.52,27.52,455.2,328.4,1.1,3.93,6,17.7,https://www.chime-frb.ca/catalog/FRB20181222E,0.2937,-,2.64,15,1.62,,,672.3,400.2
279,FRB20181223A,23/12/2018 3:51,58475.16075,CHIME,58:00.8,+65:43:00.315,129.72,3.75,652.9,352.6,2,8.85,16,31.8,https://www.chime-frb.ca/catalog/FRB20181223A,0.0364,-,-,-,3.23,,,800.2,502.1
280,FRB20181223A,23/12/2018 3:51,58475.16075,CHIME,58:00.8,+65:43:00.315,129.72,3.75,652.9,352.6,2,8.85,16,31.8,https://www.chime-frb.ca/catalog/FRB20181223A,0.0364,-,-,-,3.23,,,800.2,449.1
281,FRB20181223B,23/12/2018 13:31,58475.56319,CHIME,39:33.6,+21:35:24,227.74,72.77,600.6,564.5,0.7,8.85,4,12.4,https://www.chime-frb.ca/catalog/FRB20181223B,0.556,-,13.2,14.4,1.62,,,761.2,473.8
282,FRB20181223C,23/12/2018 13:55,58475.58023,CHIME,04:12.0,+27:34:48,207.75,79.53,479.2,111.6,1.4,1.97,2.8,19.5,https://www.chime-frb.ca/catalog/FRB20181223C,0.1158,-,11.4,12,1.62,,,800.2,400.2
283,FRB20181224A,24/12/2018 1:28,58476.06173,CHIME,40:26.4,+44:33:36,109.87,-16.51,549.5,308.9,4,1.97,3,65,https://www.chime-frb.ca/catalog/FRB20181224A,0.2606,-,1.5,4.68,1.62,,,800.2,400.2
284,FRB20181224B,24/12/2018 4:52,58476.20337,CHIME,01:26.4,+46:08:24,145.22,-11.03,400.2,779.6,0.8,8.85,3,14,https://www.chime-frb.ca/catalog/FRB20181224B,0.6408,-,12.6,12.6,3.23,,,800.2,400.2
285,FRB20181224C,24/12/2018 9:36,58476.40017,CHIME,41:09.6,+60:16:48,156.69,29.38,400.2,608.2,0.5,29.49,10,13.3,https://www.chime-frb.ca/catalog/FRB20181224C,0.5657,-,13.2,12.6,12.94,,,800.2,400.2
286,FRB20181224D,24/12/2018 13:59,58476.58323,CHIME,09:48.0,+54:51:00,135.78,61.18,400.2,690.7,0.5,3.93,2,11.2,https://www.chime-frb.ca/catalog/FRB20181224D,0.6667,-,12,12.6,1.62,,,800.2,400.2
287,FRB20181224E,24/12/2018 17:45,58476.73965,CHIME,57:16.8,+07:19:12,17.58,41.7,400.2,580.7,4,1.97,10,32.4,https://www.chime-frb.ca/catalog/FRB20181224E,0.5593,-,2.04,12,1.62,,,729.5,400.2
288,FRB20181224E,24/12/2018 17:45,58476.73965,CHIME,57:16.8,+07:19:12,17.58,41.7,400.2,580.7,4,1.97,10,32.4,https://www.chime-frb.ca/catalog/FRB20181224E,0.5593,-,2.04,12,1.62,,,800.2,400.2
289,FRB20181225A,25/12/2018 3:53,58477.16185,CHIME,58:00.8,+65:43:00.315,129.86,3.78,446.8,346.1,0.6,6.88,4,16.2,https://www.chime-frb.ca/catalog/FRB20181225A,0.0299,-,-,-,3.23,,,510.8,400.2
290,FRB20181225B,25/12/2018 5:09,58477.21515,CHIME,27:04.8,+88:12:00,123.71,25.46,560.7,299.2,2,2.95,7,19.1,https://www.chime-frb.ca/catalog/FRB20181225B,0.272,-,13.8,15.6,1.62,,,800.2,400.2
291,FRB20181226A,26/12/2018 3:43,58478.15521,CHIME,58:00.8,+65:43:00.315,129.71,3.75,552.8,347.8,1.6,9.83,6,16.7,https://www.chime-frb.ca/catalog/FRB20181226A,0.0308,-,-,-,1.62,,,632.7,482.9
292,FRB20181226A,26/12/2018 3:43,58478.15521,CHIME,58:00.8,+65:43:00.315,129.71,3.75,552.8,347.8,1.6,9.83,6,16.7,https://www.chime-frb.ca/catalog/FRB20181226A,0.0308,-,-,-,1.62,,,589.6,459.3
293,FRB20181226B,26/12/2018 13:50,58478.57703,CHIME,10:38.4,+12:25:48,267.7,72.64,461.1,287.9,9,1.97,50,52.4,https://www.chime-frb.ca/catalog/FRB20181226B,0.2959,-,2.34,12,3.23,,,687.5,400.2
294,FRB20181226B,26/12/2018 13:50,58478.57703,CHIME,10:38.4,+12:25:48,267.7,72.64,461.1,287.9,9,1.97,50,52.4,https://www.chime-frb.ca/catalog/FRB20181226B,0.2959,-,2.34,12,3.23,,,764.2,400.2
295,FRB20181226B,26/12/2018 13:50,58478.57703,CHIME,10:38.4,+12:25:48,267.7,72.64,461.1,287.9,9,1.97,50,52.4,https://www.chime-frb.ca/catalog/FRB20181226B,0.2959,-,2.34,12,3.23,,,784.9,400.2
296,FRB20181226C,26/12/2018 1:02,58478.04316,CHIME,16:12.0,+44:56:24,106.93,-15.16,400.2,409.2,0.9,3.93,3,18.8,https://www.chime-frb.ca/catalog/FRB20181226C,0.3514,-,11.4,10.8,1.62,,,800.2,400.2
297,FRB20181226D,26/12/2018 9:41,58478.40366,CHIME,00:52.8,+22:09:36,199.57,24.75,417.2,386.6,1.9,1.97,3,24.2,https://www.chime-frb.ca/catalog/FRB20181226D,0.3346,-,10.2,2.76,1.62,,,800.2,400.2
298,FRB20181226E,26/12/2018 21:50,58478.91026,CHIME,14:14.4,+73:38:24,106.68,20.68,400.2,308.9,0.5,2.95,1.3,16.5,https://www.chime-frb.ca/catalog/FRB20181226E,0.2688,-,12.6,13.2,1.62,,,558.3,400.2
299,FRB20181227A,27/12/2018 3:44,58479.15604,CHIME,07:09.6,+78:22:48,126.8,16.08,656.8,791,0.9,1.97,1.8,9.2,https://www.chime-frb.ca/catalog/FRB20181227A,0.6772,-,13.8,16.2,1.62,,,800.2,400.2
300,FRB20181228A,28/12/2018 2:02,58480.0852,CHIME,29:02.4,+10:13:12,113.99,-52.27,484.5,748.9,1.2,2.95,4,12.6,https://www.chime-frb.ca/catalog/FRB20181228A,0.7165,-,12.6,16.2,1.62,,,731.4,400.2
301,FRB20181228B,28/12/2018 18:07,58480.7555,CHIME,41:43.2,+63:51:00,94.64,38.29,435.2,566.1,0.4,4.92,1.7,15.5,https://www.chime-frb.ca/catalog/FRB20181228B,0.5452,-,12.6,12.6,3.23,,,471.8,401.5
302,FRB20181228C,28/12/2018 19:16,58480.80301,CHIME,40:45.6,+54:21:36,82.11,31.88,400.2,509.5,0.4,2.95,0.7,11.1,https://www.chime-frb.ca/catalog/FRB20181228C,0.4877,-,13.8,13.8,1.62,,,800.2,400.2
303,FRB20181228D,28/12/2018 13:48,58480.57558,UTMOST,09:23.6,-45:58:02.40,253.35,-26.15,835,354.2,19.23,1.24,24,12,https://www.wis-tns.org/object/20181228d,0.3215,-,3.85,240,0.9,,,,
304,FRB20181229A,29/12/2018 10:34,58481.44095,CHIME,08:43.2,+42:00:36,179.53,42.71,538.1,955.9,1.2,4.92,4,23.6,https://www.chime-frb.ca/catalog/FRB20181229A,0.8997,-,10.8,10.2,1.62,,,800.2,400.2
305,FRB20181229B,29/12/2018 17:23,58481.72495,CHIME,53:28.8,+19:46:48,32.98,47.82,445.5,375.3,0.4,20.64,5,11.1,https://www.chime-frb.ca/catalog/FRB20181229B,0.3736,-,13.8,15.6,12.94,,,517.5,400.2
306,FRB20181230A,30/12/2018 0:30,58482.02102,CHIME,06:45.6,+83:22:12,119.77,21.17,724.8,763.5,0.9,34.41,20,14.1,https://www.chime-frb.ca/catalog/FRB20181230A,0.6866,-,13.2,15.6,12.94,,,800.2,543.5
307,FRB20181230B,30/12/2018 2:39,58482.11079,CHIME,23:19.2,+79:42:00,124.39,16.93,450.2,1135.5,0.9,10.81,10,12.8,https://www.chime-frb.ca/catalog/FRB20181230B,0.998,-,13.8,15,3.23,,,800.2,400.2
308,FRB20181230C,30/12/2018 17:42,58482.73815,CHIME,23:00.0,+50:31:12,78.21,43.89,699.9,1036.8,0.9,2.95,2,14.3,https://www.chime-frb.ca/catalog/FRB20181230C,0.9748,-,13.2,12.6,1.62,,,800.2,409.4
309,FRB20181230D,30/12/2018 18:23,58482.76638,CHIME,01:12.0,+50:30:36,77.36,37.86,800.2,224.8,1.4,0.98,2,13.3,https://www.chime-frb.ca/catalog/FRB20181230D,0.2218,-,12.6,12.6,1.62,,,800.2,400.2
310,FRB20181230E,30/12/2018 20:37,58482.85931,CHIME,33:02.4,+86:50:60,126.19,27.69,488,1041.7,1,10.81,10,13.9,https://www.chime-frb.ca/catalog/FRB20181230E,0.959,-,12,5.22,6.47,,,707.6,400.2
311,FRB20181231A,31/12/2018 3:18,58483.13804,CHIME,58:50.4,+20:57:36,143.45,-39.2,680.4,1376.5,1.1,2.95,2,28.3,https://www.chime-frb.ca/catalog/FRB20181231A,1.2866,-,10.2,11.4,1.62,,,800.2,412.7
312,FRB20181231B,31/12/2018 9:56,58483.41388,CHIME,35:04.8,+55:59:24,161.73,36.37,657.7,199,0.9,2.95,2.3,33.2,https://www.chime-frb.ca/catalog/FRB20181231B,0.1882,-,12,10.8,1.62,,,800,540.6
313,FRB20181231C,31/12/2018 14:36,58483.60854,CHIME,08:21.6,+69:10:48,120.76,47.88,408.8,554.8,0.7,1.97,1.2,18.2,https://www.chime-frb.ca/catalog/FRB20181231C,0.5404,-,12,12.6,1.62,,,667,400.2
314,FRB20190101A,1/1/2019 12:40,58484.52789,CHIME,24:02.4,+27:59:24,205.29,70.67,400.2,867,0.6,42.27,11,17.7,https://www.chime-frb.ca/catalog/FRB20190101A,0.8307,-,11.4,12,12.94,,,747.1,400.2
315,FRB20190101B,1/1/2019 21:43,58484.90523,CHIME,31:04.8,+29:53:24,70.76,-5.63,713.6,1321.5,1,2.95,4,14,https://www.chime-frb.ca/catalog/FRB20190101B,1.1153,-,13.8,13.8,1.62,,,800.2,554.3
316,FRB20190102A,2/1/2019 1:49,58485.07585,CHIME,37:02.4,+26:43:12,119.93,-36.1,495.2,697.1,1.1,3.93,4,22.4,https://www.chime-frb.ca/catalog/FRB20190102A,0.6611,-,10.8,3.42,1.62,,,595.5,411.9
317,FRB20190102B,2/1/2019 2:43,58485.11382,CHIME,26:38.4,+21:23:24,133.78,-40.74,428.8,367.2,1.7,2.95,4,22.9,https://www.chime-frb.ca/catalog/FRB20190102B,0.3618,-,10.8,12.6,1.62,,,800.2,400.2
318,FRB20190102C,2/1/2019 5:38,58485.23523,ASKAP,29:39.8,-79:28:32.50,312.65,-33.49,1320,363.6,-,1.7,14,14,https://www.wis-tns.org/object/20190102c,0.3473,0.291,0.01,0.003,0.3,,,,
319,FRB20190103A,3/1/2019 13:47,58486.57458,CHIME,42:07.2,+65:07:48,126.27,51.88,780,365.6,1.1,9.83,5,15.7,https://www.chime-frb.ca/catalog/FRB20190103A,0.3665,-,7.8,13.8,3.23,,,800.2,577.5
320,FRB20190103B,3/1/2019 7:25,58486.30971,CHIME,14:16.8,+19:43:48,191.24,1.1,507,530.5,0.7,31.46,13,15.7,https://www.chime-frb.ca/catalog/FRB20190103B,0.2682,-,1.56,12.6,12.94,,,738.4,400.2
321,FRB20190103C,3/1/2019 8:05,58486.3374,CHIME,56:45.6,+11:04:12,203.86,6.14,543.7,1349,2,4.92,13,25.1,https://www.chime-frb.ca/catalog/FRB20190103C,1.0843,-,10.2,3,3.23,,,783,400.2
322,FRB20190103D,3/1/2019 16:00,58486.6672,CHIME,47:21.6,+59:54:36,99.89,51.72,400.2,1911.9,0.5,2.95,1.2,10.5,https://www.chime-frb.ca/catalog/FRB20190103D,1.8202,-,14.4,14.4,3.23,,,657.4,400.2
323,FRB20190103E,3/1/2019 18:38,58486.77656,CHIME,31:33.6,+45:50:24,71.92,32.6,547.3,736,0.5,2.95,2,9.1,https://www.chime-frb.ca/catalog/FRB20190103E,0.6942,-,13.8,14.4,1.62,,,800.2,400.2
324,FRB20190104A,4/1/2019 5:49,58487.24276,CHIME,42:00.0,+35:35:24,166.74,-6.99,531.9,548.3,1.5,1.97,4,17.2,https://www.chime-frb.ca/catalog/FRB20190104A,0.3718,-,12,12,1.62,,,800.2,400.2
325,FRB20190104A,4/1/2019 5:49,58487.24276,CHIME,42:00.0,+35:35:24,166.74,-6.99,531.9,548.3,1.5,1.97,4,17.2,https://www.chime-frb.ca/catalog/FRB20190104A,0.3718,-,12,12,1.62,,,800.2,400.2
326,FRB20190104B,4/1/2019 16:45,58487.69854,CHIME,38:52.8,-06:15:00,359.76,37.49,800.2,527.3,3,5.9,10,9.8,https://www.chime-frb.ca/catalog/FRB20190104B,0.5058,-,15,25.8,3.23,,,800.2,400.2
327,FRB20190105A,5/1/2019 18:39,58488.77749,CHIME,45:12.0,+63:49:12,93.23,31.42,800.2,385,0.6,8.85,4,10.9,https://www.chime-frb.ca/catalog/FRB20190105A,0.3709,-,11.4,12.6,3.23,,,800.2,400.2
328,FRB20190106A,6/1/2019 2:29,58489.1036,CHIME,28:45.6,+46:07:12,129.66,-16.26,800.2,341.3,0.3,6.88,0.8,9.6,https://www.chime-frb.ca/catalog/FRB20190106A,0.28,-,14.4,15,1.62,,,800.2,493.5
329,FRB20190106B,6/1/2019 23:21,58489.97313,CHIME,22:31.2,+46:07:48,97.99,-9.3,452.1,315.4,2,1.97,4,41.2,https://www.chime-frb.ca/catalog/FRB20190106B,0.2113,-,10.8,10.8,1.62,,,543.5,400.2
